date,store,product,sales,promotion,holiday
2024-01-01,Store_A,Product_1,45,0,0
2024-01-02,Store_A,Product_1,24,0,0
2024-01-03,Store_A,Product_1,51,0,0
2024-01-04,Store_A,Product_1,62,1,0
2024-01-05,Store_A,Product_1,11,0,0
2024-01-06,Store_A,Product_1,30,0,1
2024-01-07,Store_A,Product_1,52,0,1
2024-01-08,Store_A,Product_1,35,0,0
2024-01-09,Store_A,Product_1,40,0,0
2024-01-10,Store_A,Product_1,27,0,0
2024-01-11,Store_A,Product_1,53,0,0
2024-01-12,Store_A,Product_1,52,0,0
2024-01-13,Store_A,Product_1,51,0,1
2024-01-14,Store_A,Product_1,67,0,1
2024-01-15,Store_A,Product_1,47,0,0
2024-01-16,Store_A,Product_1,27,0,0
2024-01-17,Store_A,Product_1,46,0,0
2024-01-18,Store_A,Product_1,26,0,0
2024-01-19,Store_A,Product_1,53,0,0
2024-01-20,Store_A,Product_1,49,0,1
2024-01-21,Store_A,Product_1,57,1,1
2024-01-22,Store_A,Product_1,30,0,0
2024-01-23,Store_A,Product_1,58,0,0
2024-01-24,Store_A,Product_1,46,1,0
2024-01-25,Store_A,Product_1,34,0,0
2024-01-26,Store_A,Product_1,35,0,0
2024-01-27,Store_A,Product_1,58,0,1
2024-01-28,Store_A,Product_1,56,0,1
2024-01-29,Store_A,Product_1,46,0,0
2024-01-30,Store_A,Product_1,46,0,0
2024-01-31,Store_A,Product_1,72,0,0
2024-02-01,Store_A,Product_1,34,0,0
2024-02-02,Store_A,Product_1,32,0,0
2024-02-03,Store_A,Product_1,38,0,1
2024-02-04,Store_A,Product_1,59,0,1
2024-02-05,Store_A,Product_1,57,0,0
2024-02-06,Store_A,Product_1,38,0,0
2024-02-07,Store_A,Product_1,27,0,0
2024-02-08,Store_A,Product_1,28,0,0
2024-02-09,Store_A,Product_1,50,0,0
2024-02-10,Store_A,Product_1,61,0,1
2024-02-11,Store_A,Product_1,58,0,1
2024-02-12,Store_A,Product_1,30,0,0
2024-02-13,Store_A,Product_1,44,0,0
2024-02-14,Store_A,Product_1,42,0,0
2024-02-15,Store_A,Product_1,43,0,0
2024-02-16,Store_A,Product_1,53,0,0
2024-02-17,Store_A,Product_1,53,0,1
2024-02-18,Store_A,Product_1,70,1,1
2024-02-19,Store_A,Product_1,41,0,0
2024-02-20,Store_A,Product_1,44,0,0
2024-02-21,Store_A,Product_1,58,1,0
2024-02-22,Store_A,Product_1,18,0,0
2024-02-23,Store_A,Product_1,35,0,0
2024-02-24,Store_A,Product_1,43,0,1
2024-02-25,Store_A,Product_1,40,0,1
2024-02-26,Store_A,Product_1,36,0,0
2024-02-27,Store_A,Product_1,62,0,0
2024-02-28,Store_A,Product_1,27,0,0
2024-02-29,Store_A,Product_1,55,0,0
2024-03-01,Store_A,Product_1,25,0,0
2024-03-02,Store_A,Product_1,58,0,1
2024-03-03,Store_A,Product_1,65,0,1
2024-03-04,Store_A,Product_1,59,0,0
2024-03-05,Store_A,Product_1,61,0,0
2024-03-06,Store_A,Product_1,62,0,0
2024-03-07,Store_A,Product_1,45,0,0
2024-03-08,Store_A,Product_1,43,0,0
2024-03-09,Store_A,Product_1,75,0,1
2024-03-10,Store_A,Product_1,60,0,1
2024-03-11,Store_A,Product_1,31,0,0
2024-03-12,Store_A,Product_1,33,0,0
2024-03-13,Store_A,Product_1,36,0,0
2024-03-14,Store_A,Product_1,58,0,0
2024-03-15,Store_A,Product_1,52,0,0
2024-03-16,Store_A,Product_1,73,0,1
2024-03-17,Store_A,Product_1,69,1,1
2024-03-18,Store_A,Product_1,52,0,0
2024-03-19,Store_A,Product_1,59,0,0
2024-03-20,Store_A,Product_1,45,0,0
2024-03-21,Store_A,Product_1,57,0,0
2024-03-22,Store_A,Product_1,40,0,0
2024-03-23,Store_A,Product_1,57,0,1
2024-03-24,Store_A,Product_1,57,0,1
2024-03-25,Store_A,Product_1,32,0,0
2024-03-26,Store_A,Product_1,57,0,0
2024-03-27,Store_A,Product_1,48,0,1
2024-03-28,Store_A,Product_1,50,0,0
2024-03-29,Store_A,Product_1,67,1,0
2024-03-30,Store_A,Product_1,69,0,1
2024-03-31,Store_A,Product_1,73,0,1
2024-04-01,Store_A,Product_1,49,0,0
2024-04-02,Store_A,Product_1,54,1,0
2024-04-03,Store_A,Product_1,49,0,0
2024-04-04,Store_A,Product_1,25,0,0
2024-04-05,Store_A,Product_1,28,0,0
2024-04-06,Store_A,Product_1,43,0,1
2024-04-07,Store_A,Product_1,48,0,1
2024-04-08,Store_A,Product_1,56,0,0
2024-04-09,Store_A,Product_1,37,0,0
2024-04-10,Store_A,Product_1,44,0,0
2024-04-11,Store_A,Product_1,70,0,0
2024-04-12,Store_A,Product_1,45,0,0
2024-04-13,Store_A,Product_1,74,0,1
2024-04-14,Store_A,Product_1,61,1,1
2024-04-15,Store_A,Product_1,47,0,0
2024-04-16,Store_A,Product_1,36,0,0
2024-04-17,Store_A,Product_1,45,0,0
2024-04-18,Store_A,Product_1,63,0,0
2024-04-19,Store_A,Product_1,24,0,0
2024-04-20,Store_A,Product_1,69,0,1
2024-04-21,Store_A,Product_1,79,1,1
2024-04-22,Store_A,Product_1,41,0,0
2024-04-23,Store_A,Product_1,28,0,0
2024-04-24,Store_A,Product_1,51,0,0
2024-04-25,Store_A,Product_1,42,0,0
2024-04-26,Store_A,Product_1,54,0,0
2024-04-27,Store_A,Product_1,63,0,1
2024-04-28,Store_A,Product_1,87,0,1
2024-04-29,Store_A,Product_1,47,0,0
2024-04-30,Store_A,Product_1,35,0,0
2024-05-01,Store_A,Product_1,63,1,0
2024-05-02,Store_A,Product_1,53,0,0
2024-05-03,Store_A,Product_1,71,0,0
2024-05-04,Store_A,Product_1,75,0,1
2024-05-05,Store_A,Product_1,68,0,1
2024-05-06,Store_A,Product_1,77,0,1
2024-05-07,Store_A,Product_1,32,0,0
2024-05-08,Store_A,Product_1,41,0,0
2024-05-09,Store_A,Product_1,36,0,0
2024-05-10,Store_A,Product_1,54,1,0
2024-05-11,Store_A,Product_1,42,0,1
2024-05-12,Store_A,Product_1,72,0,1
2024-05-13,Store_A,Product_1,47,0,0
2024-05-14,Store_A,Product_1,28,0,0
2024-05-15,Store_A,Product_1,35,0,0
2024-05-16,Store_A,Product_1,55,0,0
2024-05-17,Store_A,Product_1,63,0,0
2024-05-18,Store_A,Product_1,93,0,1
2024-05-19,Store_A,Product_1,106,0,1
2024-05-20,Store_A,Product_1,56,0,0
2024-05-21,Store_A,Product_1,35,0,0
2024-05-22,Store_A,Product_1,23,0,1
2024-05-23,Store_A,Product_1,64,1,0
2024-05-24,Store_A,Product_1,38,0,0
2024-05-25,Store_A,Product_1,57,0,1
2024-05-26,Store_A,Product_1,54,0,1
2024-05-27,Store_A,Product_1,48,0,0
2024-05-28,Store_A,Product_1,66,0,0
2024-05-29,Store_A,Product_1,53,0,0
2024-05-30,Store_A,Product_1,48,0,0
2024-05-31,Store_A,Product_1,45,1,0
2024-06-01,Store_A,Product_1,58,1,1
2024-06-02,Store_A,Product_1,76,1,1
2024-06-03,Store_A,Product_1,65,1,0
2024-06-04,Store_A,Product_1,82,0,0
2024-06-05,Store_A,Product_1,57,0,0
2024-06-06,Store_A,Product_1,70,0,0
2024-06-07,Store_A,Product_1,48,0,0
2024-06-08,Store_A,Product_1,51,0,1
2024-06-09,Store_A,Product_1,55,0,1
2024-06-10,Store_A,Product_1,44,0,0
2024-06-11,Store_A,Product_1,87,0,0
2024-06-12,Store_A,Product_1,43,0,0
2024-06-13,Store_A,Product_1,68,0,0
2024-06-14,Store_A,Product_1,42,0,0
2024-06-15,Store_A,Product_1,83,0,1
2024-06-16,Store_A,Product_1,75,0,1
2024-06-17,Store_A,Product_1,53,0,0
2024-06-18,Store_A,Product_1,55,0,0
2024-06-19,Store_A,Product_1,45,0,0
2024-06-20,Store_A,Product_1,62,0,0
2024-06-21,Store_A,Product_1,48,0,0
2024-06-22,Store_A,Product_1,51,0,1
2024-06-23,Store_A,Product_1,50,0,1
2024-06-24,Store_A,Product_1,69,1,0
2024-06-25,Store_A,Product_1,79,0,0
2024-06-26,Store_A,Product_1,58,0,0
2024-06-27,Store_A,Product_1,53,0,0
2024-06-28,Store_A,Product_1,60,0,0
2024-06-29,Store_A,Product_1,89,0,1
2024-06-30,Store_A,Product_1,72,0,1
2024-07-01,Store_A,Product_1,49,0,0
2024-07-02,Store_A,Product_1,72,0,0
2024-07-03,Store_A,Product_1,62,0,0
2024-07-04,Store_A,Product_1,78,0,0
2024-07-05,Store_A,Product_1,58,0,0
2024-07-06,Store_A,Product_1,51,0,1
2024-07-07,Store_A,Product_1,49,0,1
2024-07-08,Store_A,Product_1,80,0,0
2024-07-09,Store_A,Product_1,81,0,0
2024-07-10,Store_A,Product_1,53,0,0
2024-07-11,Store_A,Product_1,50,0,0
2024-07-12,Store_A,Product_1,88,1,0
2024-07-13,Store_A,Product_1,53,0,1
2024-07-14,Store_A,Product_1,56,0,1
2024-07-15,Store_A,Product_1,65,0,0
2024-07-16,Store_A,Product_1,49,0,0
2024-07-17,Store_A,Product_1,55,0,0
2024-07-18,Store_A,Product_1,53,0,0
2024-07-19,Store_A,Product_1,60,0,0
2024-07-20,Store_A,Product_1,90,0,1
2024-07-21,Store_A,Product_1,70,0,1
2024-07-22,Store_A,Product_1,76,1,0
2024-07-23,Store_A,Product_1,25,0,0
2024-07-24,Store_A,Product_1,66,1,0
2024-07-25,Store_A,Product_1,43,0,0
2024-07-26,Store_A,Product_1,37,0,0
2024-07-27,Store_A,Product_1,56,0,1
2024-07-28,Store_A,Product_1,64,0,1
2024-07-29,Store_A,Product_1,69,0,0
2024-07-30,Store_A,Product_1,35,0,0
2024-07-31,Store_A,Product_1,67,1,0
2024-08-01,Store_A,Product_1,48,0,1
2024-08-02,Store_A,Product_1,45,0,0
2024-08-03,Store_A,Product_1,78,0,1
2024-08-04,Store_A,Product_1,71,0,1
2024-08-05,Store_A,Product_1,70,0,0
2024-08-06,Store_A,Product_1,48,0,0
2024-08-07,Store_A,Product_1,50,1,0
2024-08-08,Store_A,Product_1,52,0,1
2024-08-09,Store_A,Product_1,54,0,0
2024-08-10,Store_A,Product_1,66,0,1
2024-08-11,Store_A,Product_1,47,0,1
2024-08-12,Store_A,Product_1,62,1,0
2024-08-13,Store_A,Product_1,54,0,0
2024-08-14,Store_A,Product_1,88,0,0
2024-08-15,Store_A,Product_1,78,0,0
2024-08-16,Store_A,Product_1,38,0,0
2024-08-17,Store_A,Product_1,59,0,1
2024-08-18,Store_A,Product_1,41,0,1
2024-08-19,Store_A,Product_1,41,0,0
2024-08-20,Store_A,Product_1,55,0,0
2024-08-21,Store_A,Product_1,78,1,0
2024-08-22,Store_A,Product_1,39,0,0
2024-08-23,Store_A,Product_1,41,0,0
2024-08-24,Store_A,Product_1,31,0,1
2024-08-25,Store_A,Product_1,73,1,1
2024-08-26,Store_A,Product_1,34,0,0
2024-08-27,Store_A,Product_1,42,0,0
2024-08-28,Store_A,Product_1,37,0,0
2024-08-29,Store_A,Product_1,49,0,0
2024-08-30,Store_A,Product_1,24,0,0
2024-08-31,Store_A,Product_1,41,0,1
2024-09-01,Store_A,Product_1,95,0,1
2024-09-02,Store_A,Product_1,41,1,0
2024-09-03,Store_A,Product_1,34,0,0
2024-09-04,Store_A,Product_1,78,0,0
2024-09-05,Store_A,Product_1,94,0,0
2024-09-06,Store_A,Product_1,33,0,0
2024-09-07,Store_A,Product_1,57,0,1
2024-09-08,Store_A,Product_1,68,0,1
2024-09-09,Store_A,Product_1,86,1,0
2024-09-10,Store_A,Product_1,36,0,0
2024-09-11,Store_A,Product_1,47,0,0
2024-09-12,Store_A,Product_1,62,0,0
2024-09-13,Store_A,Product_1,57,0,0
2024-09-14,Store_A,Product_1,57,0,1
2024-09-15,Store_A,Product_1,61,0,1
2024-09-16,Store_A,Product_1,30,0,0
2024-09-17,Store_A,Product_1,47,0,0
2024-09-18,Store_A,Product_1,56,1,0
2024-09-19,Store_A,Product_1,54,0,0
2024-09-20,Store_A,Product_1,42,0,0
2024-09-21,Store_A,Product_1,70,0,1
2024-09-22,Store_A,Product_1,91,1,1
2024-09-23,Store_A,Product_1,53,0,0
2024-09-24,Store_A,Product_1,56,0,0
2024-09-25,Store_A,Product_1,51,0,0
2024-09-26,Store_A,Product_1,50,0,0
2024-09-27,Store_A,Product_1,40,0,0
2024-09-28,Store_A,Product_1,68,0,1
2024-09-29,Store_A,Product_1,74,1,1
2024-09-30,Store_A,Product_1,82,0,0
2024-10-01,Store_A,Product_1,79,0,1
2024-10-02,Store_A,Product_1,56,0,0
2024-10-03,Store_A,Product_1,39,0,0
2024-10-04,Store_A,Product_1,34,0,0
2024-10-05,Store_A,Product_1,81,0,1
2024-10-06,Store_A,Product_1,67,0,1
2024-10-07,Store_A,Product_1,58,0,0
2024-10-08,Store_A,Product_1,24,0,0
2024-10-09,Store_A,Product_1,64,0,0
2024-10-10,Store_A,Product_1,57,0,0
2024-10-11,Store_A,Product_1,34,0,0
2024-10-12,Store_A,Product_1,56,0,1
2024-10-13,Store_A,Product_1,67,0,1
2024-10-14,Store_A,Product_1,51,0,0
2024-10-15,Store_A,Product_1,46,0,0
2024-10-16,Store_A,Product_1,49,0,0
2024-10-17,Store_A,Product_1,47,0,0
2024-10-18,Store_A,Product_1,53,0,0
2024-10-19,Store_A,Product_1,85,0,1
2024-10-20,Store_A,Product_1,25,0,1
2024-10-21,Store_A,Product_1,47,0,0
2024-10-22,Store_A,Product_1,63,1,0
2024-10-23,Store_A,Product_1,55,0,0
2024-10-24,Store_A,Product_1,45,0,0
2024-10-25,Store_A,Product_1,24,0,0
2024-10-26,Store_A,Product_1,81,1,1
2024-10-27,Store_A,Product_1,89,0,1
2024-10-28,Store_A,Product_1,27,0,0
2024-10-29,Store_A,Product_1,63,0,0
2024-10-30,Store_A,Product_1,45,0,0
2024-10-31,Store_A,Product_1,60,1,0
2024-11-01,Store_A,Product_1,52,0,0
2024-11-02,Store_A,Product_1,80,0,1
2024-11-03,Store_A,Product_1,105,0,1
2024-11-04,Store_A,Product_1,77,0,0
2024-11-05,Store_A,Product_1,94,0,0
2024-11-06,Store_A,Product_1,86,0,0
2024-11-07,Store_A,Product_1,75,0,0
2024-11-08,Store_A,Product_1,108,1,0
2024-11-09,Store_A,Product_1,92,0,1
2024-11-10,Store_A,Product_1,98,0,1
2024-11-11,Store_A,Product_1,64,0,0
2024-11-12,Store_A,Product_1,69,0,0
2024-11-13,Store_A,Product_1,58,0,0
2024-11-14,Store_A,Product_1,83,0,0
2024-11-15,Store_A,Product_1,50,0,0
2024-11-16,Store_A,Product_1,114,1,1
2024-11-17,Store_A,Product_1,99,1,1
2024-11-18,Store_A,Product_1,86,0,0
2024-11-19,Store_A,Product_1,93,1,0
2024-11-20,Store_A,Product_1,95,0,0
2024-11-21,Store_A,Product_1,79,0,0
